"PROJANO";"NUMSEN";"ORGAO";"ORIGEM";"TIPOLEI";"DATAORIG";"DATAULT";"ULTACAO";"TNJR";"VETO";"NUMLEI";"EMENTA"
"PL.0390/99";"PLS0091/98";"SF";1,00;3;8/4/1998 00:00:00;9/8/2000 00:00:00;"VETT";"PRE";"TM";-1;"Projeto de lei que institui o Conselho Federal do Secretariado - CFSEC e os conselhos Regionais de Secretariado - CRSEC, dispõe sobre a fiscalização do exercício profissional e dá outras providências."
"PL.0392/03";"PLC0041/05";"CD";1,00;3;18/3/2003 00:00:00;6/12/2005 00:00:00;"TNJR";"PRO";"NA";11205;"Denomina ""Rodovia Alfeo Almeida Velozo"" o trecho da rodovia BR-376 compreendido entre o entroncamento com a rodovia BR-163, próximo à cidade de Dourados, e a cidade de Fátima do Sul, ambas do Estado do Mato Grosso do Sul."
"PL.0396/91";"PLC0112/91";"CD";1,00;3;8/4/1991 00:00:00;7/1/1992 00:00:00;"TNJR";"PRO";"PM";8400;"Reajusta a pensão especial mensal concedida às viúvas de ex-Presidentes da República. BLOCO."
"PL.0400/07";"PLC0116/07";"CD";1,00;3;14/3/2007 00:00:00;14/8/2009 00:00:00;"VETT";"PRE";"TS";-1;"Altera a Lei nº 9.503, de 1997, que institui o Código de Trânsito Brasileiro, para dispor sobre a divulgação dos autos de infração e a cobrança de multas após a transferência de propriedade do veículo."
"PL.0402/99";"PLC0013/02";"CD";1,00;3;24/3/1999 00:00:00;23/12/2003 00:00:00;"TNJR";"SUE";"PM";10830;"Altera os arts. 61, 105 e 338 da Lei no 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para dispor sobre especificidades dos veículos de duas e de três rodas. Equiparando a velocidade máxima de 110 quilômetro por hora dos automóveis às motocicletas; retirando a campainha e o espelho retrovisor da relação de equipamentos obrigatórios para bicicleta e restringindo o fornecimento do manual sobre as normas apenas para veículo automotor."
"PL.0405/07";"PLS0263/04";"SF";1,00;3;16/9/2004 00:00:00;4/2/2011 00:00:00;"VETT";"PRE";"TS";-1;"Acrescenta § 6º ao art. 43 da Lei nº 8.078, de 11 de setembro de 1990, para dispor sobre a formação do cadastro positivo nos Sistemas de Proteção ao Crédito."
"PL.0407/91";"PLC0029/95";"CD";1,00;3;17/4/1991 00:00:00;26/5/2004 00:00:00;"VETT";"PRE";"TM";-1;"Acrescenta dispositivo à Lei nº 2.604, de 17 de setembro de 1955, que regula o exercício da enfermagem profissional."
"PL.0410/07";"PLS0326/05";"SF";1,00;3;14/9/2005 00:00:00;15/4/2010 00:00:00;"TNJR";"SUB";"NA";12228;"Denomina ""Aeroporto Internacional de Belém / Val-de-Cans / Júlio Cezar Ribeiro"" o aeroporto internacional de Belém (Val-de-Cans), no Estado do Pará, e dá outras providências."
"PL.0420/99";"PLC0010/00";"CD";1,00;3;24/3/1999 00:00:00;9/1/2001 00:00:00;"TNJR";"SUB";"NA";10173;"Altera a Lei no 5.869, de 11 de janeiro de 1973 - Código de Processo Civil, para dar prioridade de tramitação aos procedimentos judiciais em que figure como parte pessoa com idade igual ou superior a sessenta e cinco anos."
"PL.0426/95";"PLC0107/95";"EF";2,00;3;5/5/1995 00:00:00;21/12/1995 00:00:00;"TNJR";"PRE";"NA";9192;"Altera dispositivos da Lei nº 5.540, de 28 de novembro de 1968, que regulamentam o processo de escolha dos dirigentes universitários."
"PL.0432/03";"PLC0050/05";"CD";1,00;3;19/3/2003 00:00:00;27/12/2005 00:00:00;"TNJR";"SUE";"NA";11255;"Define as diretrizes da Política de Prevenção e Atenção Integral à Saúde da Pessoa Portadora de Hepatite, em todas as suas formas, no âmbito do Sistema Único de Saúde - SUS, e dá outras providências."
"PL.0433/03";"PLC0109/05";"CD";1,00;3;19/3/2003 00:00:00;12/3/2008 00:00:00;"TNJR";"PRO";"NA";11645;"Altera a Lei nº 9.394, de 20 de dezembro de 1996, modificada pela Lei nº 10.639, de 09 de janeiro de 2003, que estabelece as diretrizes e bases da educação nacional, para incluir, no currículo oficial da Rede de Ensino, a obrigatoriedade da temática ""Hístória e Cultura Afro-Brasileira e Indígena""."
"PL.0787/03";"PLC0042/06";"CD";1,00;3;16/4/2003 00:00:00;15/5/2009 00:00:00;"VETT";"PRE";"TM";-1;"Institui diretrizes nacionais para a cobrança de tarifas para a prestação dos serviços de abastecimento de água e dá outras providências."
"PL.0787/99";"-1";"CD";1,00;3;29/4/1999 00:00:00;22/6/1999 00:00:00;"PRJD";"NA";"NA";-1;"Acrescenta inciso ao art. 39 da Lei nº 8.935, de 18 de novembro de 1994, incluindo a possibilidade de extinção de delegação a notário ou a oficial de registro.Alteração, Lei dos Cartórios, registro público, possibilidade, extinção, delegação, notariado, oficial de registro, cartório de registro civil, descumprimento, gratuidade, registro civil, certidão, registro de nascimento, atestado de óbito."
"PL.0797/07";"-1";"STM";3,00;3;23/4/2007 00:00:00;13/9/2007 00:00:00;"TCOM";"NA";"NA";-1;"Altera o art. 125 do Decreto-Lei nº 1001, de 21 de outubro de 1969 - Código Penal Militar. Estabelece critérios para a prescrição em relação à anterioridade ou não do trânsito em julgado da sentença"
"PL.0799/07";"PLC0046/08";"CD";1,00;3;23/4/2007 00:00:00;10/12/2010 00:00:00;"TNJR";"PRO";"NA";12347;"Revoga o art. 508 da Decreto-Lei nº 5.452, de 1º de maio de 1943.

Explicação da Ementa
Revoga dispositivo que considera justa causa, para efeitos de rescisão do contrato de trabalho de empregado bancário, a falta contumaz de pagamento de dívidas legalmente exigíveis."
"PL.0804/95";"-1";"EF";2,00;3;11/8/1995 00:00:00;27/10/1997 00:00:00;"RJTD";"NA";"NA";-1;"FIXA A GRATIFICAÇÃO DE REPRESENTAÇÃO PELO EXERCICIO DE FUNÇÃO NOS GABINETES DOS MINISTROS MILITARES, E DA OUTRAS PROVIDENCIAS."
"PL.0808/03";"PLC0038/04";"CD";1,00;3;23/4/2003 00:00:00;15/5/2009 00:00:00;"VETT";"SUE";"TM";-1;"Obriga a identificação do responsável pela intermediação imobiliária no regime de escrituras públicas de compra e venda de imóveis e altera a Lei nº 7.433, de 18 de dezembro de 1985."
"PL.0815/91";"PLC0026/92";"CD";1,00;3;13/5/1991 00:00:00;16/3/1994 00:00:00;"VETT";"PRE";"TM";-1;"DISPÕE SOBRE AUTORIZAÇÃO PARA DOAÇÃO A COOPERATIVA HABITACIONAL DOS SERVIDORES DO MINISTERIO DA PREVIDENCIA E ASSISTENCIA SOCIAL, NO ESTADO DA BAHIA, DO TERRENO QUE MENCIONA."
"PL.0818/03";"PLC0024/04";"CD";1,00;3;23/4/2003 00:00:00;13/5/2005 00:00:00;"TNJR";"SUB";"PM";11112;"Altera o art. 1.121 da Lei nº 5.869, de 1973 - Código de Processo Civil, para incluir, como requisito indispensável à petição de separação consensual, o acordo entre os cônjuges relativo ao regime de visitas dos filhos menores, e dá outras providências."
"PL.0819/07";"PLC0175/09";"CD";1,00;3;24/4/2007 00:00:00;10/9/2009 00:00:00;"TNJR";"PRO";"PS";12325;"Dispõe sobre o Dia Nacional do Respeito ao Contribuinte. A ser celebrado no dia 25 de maio."
"PL.0819/11";"PLC0119/11";"CD";1,00;3;23/3/2011 00:00:00;15/3/2012 00:00:00;"TNJR";"PRO";"NA";12596;"Confere ao Município de Maravilha, no Estado de Santa Catarina, o título de Cidade das Crianças."
"PL.0821/07";"PLC0100/09";"CD";1,00;3;24/4/2007 00:00:00;11/11/2009 00:00:00;"TNJR";"SUE";"NA";12091;"Modifica a Lei nº 9.610, de 19 de fevereiro de 1998, assegurando direitos morais aos dubladores de obras audiovisuais. NOVA EMENTA: Acrescenta inciso VII ao § 2º art. 81 da Lei 9610, de 19 de fevereiro de 1998, para incluir o nome dos dubladores nos créditos das obras audiovisuais. Garante ao dublador de obra audiovisual a menção de seu nome ou sinal nos créditos da obra e o direito de participarem dos resultados de exibição, nos termos previstos no contrato de trabalho que vierem a negociar."
"PL.0821/91";"-1";"EF";2,00;3;7/5/1991 00:00:00;2/7/1991 00:00:00;"PRJD";"NA";"NA";-1;"REGULAMENTA O ARTIGO OITAVO DA CONSTITUIÇÃO FEDERAL, DISPÕE SOBRE A NEGOCIAÇÃO COLETIVA DE TRABALHO, REGULA A REPRESENTAÇÃO DE TRABALHADORES NA EMPRESA E DA OUTRAS PROVIDENCIAS. DISPONDO SOBRE A ORGANIZAÇÃO SINDICAL, REGULAMENTANDO DISPOSITIVOS DA Constituição Federal de 1988, DE ACORDO COM O PROJETO DE RECONSTRUÇÃO NACIONAL, O PROJETÃO DO GOVERNO COLLOR). - ADMISSIBILIDADE DA CCJR. (PRAZO: 45 DIAS). (DESDOBRANDO-SE NOS PL. 1231/91 E PL. 1232/91)."
"PL.0821/95";"PLC0024/97";"CD";1,00;3;17/8/1995 00:00:00;16/7/1997 00:00:00;"TNJR";"SUE";"NA";9472;"Dispõe sobre a organização dos serviços de telecomunicações, a criação e funcionamento de um órgão regulador e outros aspectos institucionais, nos termos da Emenda Constitucional nº 8, de 1995."
"PL.0822/91";"PLC0122/91";"EF";2,00;3;8/5/1991 00:00:00;8/1/1992 00:00:00;"TNJR";"PRE";"PM";8402;"Restabelece os incentivos fiscais que menciona e dá outras providências.ESTIMULANDO A COMPETITIVIDADE INDUSTRIAL, REGULAMENTANDO O DISPOSTO NO ARTIGO 41 DAS DISPOSIÇÕES TRANSITORIAS DA CONSTITUIÇÃO FEDERAL DE 1988, DE ACORDO COM O PROJETO DE RECONSTRUÇÃO NACIONAL, (PROJETÃO DO GOVERNO COLLOR). - ADMISSIBILIDADE DA CCJR."
"PL.0823/91";"-1";"EF";2,00;3;15/5/1991 00:00:00;2/7/2013 00:00:00;"TCOM";"NA";"NA";-1;"Altera dispositivo da Lei nº 7.289, de 18 de dezembro de 1986. Incluindo o exame psicotécnico entre os requisitos para ingresso na polícia militar do Distrito Federal."
"PL.0824/91";"PLC0115/93";"EF";2,00;3;8/5/1991 00:00:00;14/5/1996 00:00:00;"TNJR";"SUE";"NA";9279;"Regula direitos e obrigações relativos à propriedade industrial."
"PL.0825/91";"PLC0035/91";"EF";2,00;3;8/5/1991 00:00:00;24/7/1991 00:00:00;"TNJR";"SUE";"PM";8213;"Dispõe sobre os Planos de Benefícios da Previdência Social e dá outras providências. "
"PL.0826/91";"PLC0034/91";"EF";2,00;3;8/5/1991 00:00:00;24/7/1991 00:00:00;"TNJR";"SUB";"PM";8212;"Dispõe sobre a organização da Seguridade Social, institui Plano de Custeio, e dá outras providências. DEFININDO AS FONTES DE CUSTEIO, OS CONTRIBUINTES, OS CRIMES CONTRA A PREVIDENCIA, DISPONDO SOBRE OS DEBITOS, REGULAMENTANDO O ARTIGO 194 E ARTIGO 195 DA Constituição Federal de 1988, DE ACORDO COM O PROJETO DE RECONSTRUÇÃO NACIONAL, O PROJETÃO DO GOVERNO COLLOR."
"PL.0834/03";"PLC0073/04";"CD";1,00;3;24/4/2003 00:00:00;25/7/2005 00:00:00;"TNJR";"PRO";"NA";11142;"Institui o Dia Nacional da Imigração Japonesa. A ser comemorado no dia 18 de junho - data da chegada do navio ""Kasato - Maru"" ao Brasil."
"PL.0836/03";"PLC0085/09";"CD";1,00;3;24/4/2003 00:00:00;3/4/2013 00:00:00;"TCOM";"NA";"NA";-1;"Disciplina o funcionamento de bancos de dados e serviços de proteção ao crédito e congêneres e dá outras providências. Institui o Cadastro Positivo de Consumidores."
"PL.0846/95";"-1";"CD";1,00;3;23/8/1995 00:00:00;27/11/1996 00:00:00;"RJTD";"NA";"NA";-1;"REGULAMENTA O PARAGRAFO UNICO DO ARTIGO 178 DA CONSTITUIÇÃO FEDERAL.
REGULAMENTANDO A Constituição Federal de 1988 NO QUE DIZ RESPEITO AO TRANSPORTE AQUAVIARIO DE MERCADORIA, NA NAVEGAÇÃO DE CABOTAGEM E INTERIOR, EM ATENDIMENTO DAS EXIGENCIAS DO PAPEL ESTRATEGICO DA ATIVIDADE MERCANTE MARINHEIRA E DA SEGURANÇA NACIONAL, TENDO EM VISTA A EMENDA CONSTITUCIONAL 07). - PODER CONCLUSIVO DAS COMISSÕES - ARTIGO 24, INCISO II."
"PL.0855/03";"PLC0104/06";"CD";1,00;3;29/4/2003 00:00:00;6/7/2009 00:00:00;"TNJR";"SUB";"NA";11969;"Acrescenta o inciso IV ao art. 40 do Código de Processo Civil. Outorga aos advogados direito de carga dos autos nos prazos comuns para extração de cópias. Altera a Lei nº 5.869, de 1973."
"PL.0855/99";"PLC0059/00";"CD";1,00;3;6/5/1999 00:00:00;21/12/2001 00:00:00;"TNJR";"PRE";"NA";10350;"Altera a Lei no 9.503, de 23 de setembro de 1997 – Código de Trânsito Brasileiro, de forma a obrigar a realização de exame psicológico periódico para os motoristas profissionais."
"PL.1159/95";"PLC0078/97";"CD";1,00;3;31/10/1995 00:00:00;24/3/1998 00:00:00;"TNJR";"SUE";"PM";9615;"Institui normas gerais sobre desporto e dá outras providências. (Lei Pelé) . OBJETIVANDO A EXTINÇÃO DO INSTITUTO DO PASSE NA LEGISLAÇÃO DESPORTIVA NACIONAL.CRIANDO A LEI PELÉ."
"PL.1162/88";"PLC0018/93";"CD";1,00;3;24/11/1988 00:00:00;16/3/1994 00:00:00;"VETT";"PRE";"TM";-1;"DISPÕE SOBRE A INSTITUIÇÃO DA SEMANA DO TRABALHADOR."
"PL.1164/91";"PLC0062/95";"EF";2,00;3;11/6/1991 00:00:00;12/2/1998 00:00:00;"TNJR";"SUE";"PM";9605;"Dispõe sobre as sanções penais e administrativas derivadas de condutas e atividades lesivas ao meio ambiente, e dá outras providências."
"PL.1164/99";"PLC0146/01";"CD";1,00;3;10/6/1999 00:00:00;3/7/2002 00:00:00;"TNJR";"PRO";"NA";10481;"Denomina ""Aeroporto de Porto Velho Governador Jorge Teixeira de Oliveira"", o aeroporto de Porto Velho, Estado de Rondonia."
"PL.1165/07";"PLS0156/06";"SF";1,00;3;24/5/2006 00:00:00;13/1/2010 00:00:00;"TNJR";"SUE";"NA";12190;"Concede indenização por dano moral às pessoas com deficiência física decorrente do uso da talidomida e dá outras providências."
"PL.1165/91";"PLC0071/92";"MPU";2,00;3;14/6/1991 00:00:00;23/9/1992 00:00:00;"TNJR";"PRE";"NA";8466;"Cria a Procuradoria Regional do Trabalho da 22ª Região da Justiça do Trabalho e dá outras providências.  CRIANDO 08 CARGOS DE PROCURADOR DO TRABALHO DE SEGUNDA CATEGORIA, 04 DE ASSESSOR, 01 DE SECRETARIO REGIONAL, 01 DE DIRETOR DE DIVISÃO ADMINISTRATIVA, 01 DE DIRETOR DE DIVISÃO PROCESSUAL, 02 DE ADMINISTRADOR, 04 DE AGENTE ADMINISTRATIVOS, 08 DE DATILOGRAFO, 04 DE AUXILIAR OPERACIONAL DE SERVIÇOS DIVERSOS, 01 DE AGENTE DE MECANIZAÇÃO E APOIO, 02 DE MOTORISTA OFICIAL E 02 DE AGENTE DE PORTARIA)."
"PL.1165/99";"PLC0104/05";"EF";2,00;3;10/6/1999 00:00:00;29/4/2011 00:00:00;"TCOM";"NA";"NA";-1;"Altera a Lei nº 8.987, de 13 de fevereiro de 1995, estabelecendo a obrigatoriedade de as concessionárias de serviços públicos oferecerem ao consumidor e ao usuário datas opcionais para o vencimento de seus débitos, e revoga a Lei nº 9.791, de 24 de março de 1999. Estabelecendo que as concessionarias disponibilizarão ao consumidor ou usuário, pessoa física ou microempresa, no mínimo seis datas, para opção de escolha de vencimento das contas de utilização do serviço público."
"PL.1166/91";"PLC0081/91";"MPU";2,00;3;24/6/1991 00:00:00;26/6/1995 00:00:00;"TNJR";"PRE";"NA";9067;"Cria, na 8ª Região da Justiça do Trabalho, em Belém, no Estado do Pará, no âmbito do Ministério Público do Trabalho, cargos de Procuradores do Trabalho de 2ª Categoria, cargos em comissão e dá outras providências."
"PL.1167/91";"PLC0072/92";"MPU";2,00;3;24/6/1991 00:00:00;26/6/1995 00:00:00;"TNJR";"PRE";"NA";9068;"Cria, na 3ª Região da Justiça do Trabalho, em Belo Horizonte, no Estado de Minas Gerais, no âmbito do Ministério Público do Trabalho, cargos de Procuradores do Trabalho de 2ª Categoria, cargos em comissão e dá outras providências."
"PL.1169/88";"PLC0121/90";"CD";1,00;3;24/11/1988 00:00:00;18/11/1992 00:00:00;"TNJR";"SUE";"PM";8489;"Dispõe sobre a retirada e transplante de tecidos, órgãos e partes do corpo humano, com fins terapêuticos e científicos e dá outras providências."
"PL.1172/91";"PLC0088/92";"CD";1,00;3;24/6/1991 00:00:00;1/9/1993 00:00:00;"TNJR";"SUB";"NA";8701;"Acrescenta parágrafo ao art. 370 do Código de Processo Penal. DISPONDO SOBRE A INTIMAÇÃO, PELA IMPRENSA, DO DEFENSOR E ASSISTENTE DE ACUSAÇÃO)."
"PL.1176/95";"PLC0018/00";"EF";2,00;3;1/11/1995 00:00:00;6/1/2011 00:00:00;"TNJR";"SUB";"NA";12379;"Estabelece os princípios e as diretrizes para o Sistema Nacional de Viação e dá outras providências. Dispondo que o Sistema Federal de Viação (SFV) constitui parcela estruturante do Sistema Nacional de Viação (SNV) e abrange os subsistemas federais rodoviário, ferroviário, aquaviário e aeroviário."
"PL.1178/95";"PLC0006/96";"EF";2,00;3;1/11/1995 00:00:00;10/5/1996 00:00:00;"TNJR";"SUE";"NA";9277;"Autoriza a União a delegar aos municípios, estados da Federação e ao Distrito Federal a administração e exploração de rodovias e portos federais."
"PL.1180/07";"PLC0326/09";"CD";1,00;3;29/5/2007 00:00:00;13/9/2011 00:00:00;"TNJR";"SUB";"NA";12484;"Dispõe sobre politica nacional de incentivo à cultura do bambu e dá outras providências."
"PL.1180/95";"PLC0063/00";"CD";1,00;3;7/11/1995 00:00:00;11/6/2001 00:00:00;"TNJR";"PRE";"NA";10237;"Dispõe sobre a inserção, nas fitas de vídeo gravadas que especifica, destinadas à venda ou aluguel no País, da seguinte mensagem: ""Faça sexo seguro. Use camisinha."""
"PL.1181/03";"PLC0168/09";"CD";1,00;3;3/6/2003 00:00:00;20/9/2010 00:00:00;"TNJR";"SUE";"NA";12334;"Estabelece diretrizes para verificação da segurança de barragens de cursos de água para quaisquer fins e para aterros de contenção de resíduos líquidos industriais. NOVA EMENTA: Estabelece a política nacional de segurança de barragens destinadas à acumulação de água para quaisquer usos, à disposição final ou temporária de rejeitos e à acumulação de resíduos industriais, cria o Sistema Nacional de Informações sobre Segurança de Barragens, e altera a redação do art. 35 da Lei nº 9.433, de 8 de janeiro de 1997, e do art. 4º da Lei nº 9.984, de 17 de julho de 2000."
"PL.1185/07";"PLC0091/12";"CD";1,00;3;29/5/2007 00:00:00;9/12/2014 00:00:00;"TNJR";"SUE";"NA";13051;"Modifica a Lei n° 10.891, de 9 de julho de 2004, instituindo penalidade ao atleta que violar regras antidoping.
Inclui como requisito para pleitear a bolsa-atleta, a ausência de violação aos dispositivos da Convenção Internacional Contra o Doping nos Esportes, por no mínimo 2 (dois) anos, de acordo com o Projeto de Decreto Legislativo nº 2.543, de 2006."
"PL.1186/07";"PLC0053/11";"CD";1,00;3;29/5/2007 00:00:00;17/8/2012 00:00:00;"VETT";"PRE";"TS";-1;"Altera a Lei nº 10.779, de 25 de novembro de 2003, para estender ao catador de caranguejo o benefício do seguro-desemprego durante o período do defeso da espécie."
"PL.1189/88";"PLC0019/93";"CD";1,00;3;1/12/1988 00:00:00;20/7/1993 00:00:00;"TNJR";"PRO";"NA";8687;"RETIRA DA INCIDENCIA DO IMPOSTO DE RENDA BENEFICIOS PERCEBIDOS POR DEFICIENTES MENTAIS."
"PL.1191/07";"PLC0117/09";"CD";1,00;3;29/5/2007 00:00:00;21/8/2009 00:00:00;"TNJR";"SUB";"NA";12019;"Insere inciso III no art. 3º da Lei nº 8.038, de 28 de maio de 1990, para prever a possibilidade de o relator de ações penais de competência originária do Superior Tribunal de Justiça e do Supremo Tribunal Federal convocar desembargador ou juiz para a realização de interrogatório e outros atos de instrução. Confere ao relator, em ações penais originárias do Supremo Tribunal Federal e do Superior Tribunal de Justiça, a faculdade de convocar Desembargadores de Turmas Criminais dos Tribunais de Justiça ou dos Tribunais Regionais Federais, bem como Juizes das varas criminais da Justiça dos Estados e Municípios para atuar na instrução de processos de competência exclusiva do STF e do STJ."
"PL.1200/03";"PLC0065/11";"CD";1,00;3;5/6/2003 00:00:00;30/12/2012 00:00:00;"VETT";"SUE";"TS";-1;"Altera os artigos 9º e 45 da Lei nº 9.394, de 20 de dezembro de 1996."
"PL.1201/88";"PLC0007/89";"CD";1,00;3;28/11/1988 00:00:00;8/6/1989 00:00:00;"TNJR";"SUE";"PM";7773;"Dispõe sobre a eleição para Presidente e Vice-Presidente da República. Fixando a data da eleição no dia 03 de outubro do último ano do mandato presidencial e no dia 15 de novembrbo de 1989 para o mandato que se inicia no dia 15 de março de 1990, de acordo com disposições da nova Constituição Fedsera, dispondo sobre a escolha dos candidatos, sobre a eleição pelo colégio eleitoral na hipótese de vacância do cargo, a propaganda eleitoral, boca de urna e confecção de cédula eleitoral conforme o artigo quarto, parágrafo primeiro e artigo sexto das disposições transitórias."
"PL.1390/91";"PLC0057/91";"EF";2,00;3;5/8/1991 00:00:00;13/8/1991 00:00:00;"TNJR";"PRE";"PM";8216;"Dispõe sobre antecipação a ser compensada quando da revisão geral da remuneração dos servidores públicos, corrige e reestrutura tabelas de vencimentos e dá outras providências. CONCEDENDO ANTECIPAÇÃO DE VINTE POR CENTO SOBRE OS VALORES DE ABRIL DE 1991."
"PL.1391/88";"-1";"EF";2,00;3;7/12/1988 00:00:00;30/6/1993 00:00:00;"PRJD";"NA";"NA";-1;"DISPÕE SOBRE AS EMPRESAS DE TRANSPORTE FERROVIARIO DE PASSAGEIROS QUE MENCIONA E DA OUTRAS PROVIDENCIAS. REESTRUTURANDO OS SERVIÇOS DE TRANSPORTE FERROVIARIO DE PASSAGEIROS EM ALGUMAS REGIÕES METROPOLITANAS, REGIONALIZANDO ESTES SERVIÇOS PUBLICOS ATRAVES DA DOAÇÃO, PARA OS ESTADOS, DAS PARTICIPAÇÕES ACIONARIAS DA UNIÃO NOS CAPITAIS DA TRENSURB E DAS EMPRESAS PUBLICAS QUE SERIAM CRIADAS, PELA ABSORÇÃO DO PATRIMONIO DA CBTU, PRECEDIDA DO SANEAMENTO FINANCEIRO DAS ENTIDADES EM FOCO, COMPATIBILIZANDO A ATUAÇÃO DO GOVERNO FEDERAL, POR SUAS ENTIDADES ESTATAIS, AOS PRECEITOS DO ARTIGO 30, INCISO V DA Constituição Federal de 1988 E COMPLEMENTANDO O AJUSTE FISCAL."
"PL.1392/03";"PLC0096/09";"CD";1,00;3;2/7/2003 00:00:00;1/12/2009 00:00:00;"TNJR";"SUB";"NA";12102;"Institui o Dia do Plano Nacional de Educação. A ser comemorado no dia 12 de dezembro."
"PL.1393/91";"PLC0120/93";"CD";1,00;3;19/8/1991 00:00:00;5/4/1995 00:00:00;"VETT";"PRE";"TM";-1;"DEFINE OS CREDITOS DE NATUREZA ALIMENTICIA PREVISTOS NO ARTIGO 100 DA CONSTITUIÇÃO FEDERAL E REGULA O PROCESSO PARA SEU PAGAMENTO PELA FAZENDA PUBLICA."
"PL.1394/03";"PLC0058/03";"EF";2,00;3;2/7/2003 00:00:00;22/10/2003 00:00:00;"TNJR";"SUE";"NA";10748;"Cria o Programa Nacional de Estímulo ao Primeiro Emprego para os Jovens - PNPE, acrescenta dispositivo à Lei no 9.608, de 18 de fevereiro de 1998, e dá outras providências."
"PL.1399/07";"PLC0130/07";"CD";1,00;3;25/6/2007 00:00:00;14/1/2010 00:00:00;"TNJR";"SUB";"NA";12195;"Altera dispositivo da Lei nº 5.869, de 11 de janeiro de 1973, que institui o Código de Processo Civil."
